frame,timestamp,ID_2_x,ID_2_y,ID_2_dim1,ID_0_x,ID_0_y,ID_0_dim1,ID_4_x,ID_4_y,ID_4_dim1,ID_1_x,ID_1_y,ID_1_dim1
2193,2026-02-11 14:42:31,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.909465453419,564.6350763218067,0.0,386.1866264581229,101.03642354042358,0.0
2194,2026-02-11 14:42:31,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2195,2026-02-11 14:42:31,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6101269100466,564.6379673590496,0.0,386.1866264581229,101.03642354042358,0.0
2196,2026-02-11 14:42:31,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2197,2026-02-11 14:42:31,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,385.7841374547996,100.44246513799096,0.0
2198,2026-02-11 14:42:31,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,385.7841374547996,100.44246513799096,0.0
2199,2026-02-11 14:42:31,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2200,2026-02-11 14:42:31,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2201,2026-02-11 14:42:31,484.04967952300854,376.4782506781643,0.0,103.15784845181395,394.9029594310357,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2202,2026-02-11 14:42:31,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6101269100466,564.6379673590496,0.0,385.77699395846815,101.03841787336881,0.0
2203,2026-02-11 14:42:31,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2204,2026-02-11 14:42:32,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2205,2026-02-11 14:42:32,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2206,2026-02-11 14:42:32,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,385.77699395846815,101.03841787336881,0.0
2207,2026-02-11 14:42:32,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2208,2026-02-11 14:42:32,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,385.77699395846815,101.03841787336881,0.0
2209,2026-02-11 14:42:32,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2210,2026-02-11 14:42:32,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2211,2026-02-11 14:42:32,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2212,2026-02-11 14:42:32,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2213,2026-02-11 14:42:32,484.04967952300854,376.4782506781643,0.0,103.15784845181395,394.9029594310357,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2214,2026-02-11 14:42:32,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,385.7841374547996,100.44246513799096,0.0
2215,2026-02-11 14:42:32,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2216,2026-02-11 14:42:33,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.909465453419,564.6350763218067,0.0,386.1866264581229,101.03642354042358,0.0
2217,2026-02-11 14:42:33,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2218,2026-02-11 14:42:33,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2219,2026-02-11 14:42:33,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2220,2026-02-11 14:42:33,484.04967952300854,376.4782506781643,0.0,103.15784845181395,394.9029594310357,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2221,2026-02-11 14:42:33,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2222,2026-02-11 14:42:33,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2223,2026-02-11 14:42:33,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2224,2026-02-11 14:42:33,484.0839345731682,376.05649928347884,0.0,103.15784845181395,394.9029594310357,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2225,2026-02-11 14:42:34,484.0839345731682,376.05649928347884,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1866264581229,101.03642354042358,0.0
2226,2026-02-11 14:42:34,484.04967952300854,376.4782506781643,0.0,103.50089301352853,394.90025896684057,0.0,537.6533561984639,564.3178657746322,0.0,386.1939100181887,100.44047263793902,0.0
