frame,timestamp,ID_8_x,ID_8_y,ID_6_x,ID_6_y
1230,2026-05-13 13:34:33,210.46515934036807,281.6673917508369,430.70592552668944,268.61178366819195
1231,2026-05-13 13:34:33,210.45689916450095,281.90586884702833,430.5803603814106,268.6104386201646
1232,2026-05-13 13:34:34,210.45648610487484,282.65315953816605,431.2156513011396,268.617244087482
1233,2026-05-13 13:34:34,210.45126156143039,282.5466179087923,430.91168213480324,268.6139878927031
1234,2026-05-13 13:34:34,210.44887967413302,282.81733438738763,431.0516655756116,268.61548746035066
1235,2026-05-13 13:34:34,210.44631738144818,282.65333156078634,430.80509141321005,268.61284608506776
1236,2026-05-13 13:34:34,210.43969583651554,281.9542889275971,429.92766427698496,268.6034387614464
1237,2026-05-13 13:34:34,210.43043577762182,280.90731020284045,428.639947722423,268.589633571405
1238,2026-05-13 13:34:34,210.4293727940284,280.81937504493226,429.15971735974523,268.59520714375753
1239,2026-05-13 13:34:34,210.42372580000517,280.1696161791083,429.5753250728969,268.5996638792823
1240,2026-05-13 13:34:34,210.42501130857758,280.3398739295063,430.5623783506056,268.6102405059085
1241,2026-05-13 13:34:34,210.42089083446214,279.8579404540815,430.48705471695615,268.6094355646804
1242,2026-05-13 13:34:34,210.42316858097462,280.1372847082389,430.8722604915712,268.6135641017611
1243,2026-05-13 13:34:34,210.4196930615202,279.7262574602576,430.68847810858375,268.6115959019845
1244,2026-05-13 13:34:34,210.42239002856235,280.05169076225343,431.2859278238021,268.61799632066493
1245,2026-05-13 13:34:34,210.41918700245225,279.67062139536705,430.7437940075095,268.6121891846167
1246,2026-05-13 13:34:34,211.91571877449434,281.21399533765265,430.6049748939437,268.61070220584065
1247,2026-05-13 13:34:34,212.90272376470062,283.99244932543127,431.23165073428606,268.61741541817145
1248,2026-05-13 13:34:34,215.05820217923312,289.94677968360065,430.72086193718894,268.6119437533132
1249,2026-05-13 13:34:34,217.97798949755622,299.13214263418416,430.5900690482353,268.61054267549343
1250,2026-05-13 13:34:35,221.38162670612638,309.22696326886035,429.7878997397514,268.6019415452231
1251,2026-05-13 13:34:35,225.11157435727318,322.2447230852084,429.1784242916563,268.5954084833988
1252,2026-05-13 13:34:35,229.07032911836038,340.6361925029441,429.5874845786391,268.59979475004906
1253,2026-05-13 13:34:35,231.69148876824283,360.14882328365195,430.57028202933805,268.6103255719069
1254,2026-05-13 13:34:35,231.98791527015862,381.52303060556517,430.44143365934843,268.6089482932664
1255,2026-05-13 13:34:35,230.7455369544117,399.4643473350236,430.40844066763896,268.608595626463
1256,2026-05-13 13:34:35,228.51310930479144,416.32209249139817,429.6698412923638,268.6006759633533
1257,2026-05-13 13:34:35,222.70595833449138,431.3308063474361,429.128544597635,268.5948737750588
1258,2026-05-13 13:34:35,217.49246285272216,443.97116121079443,429.5550627775253,268.59944718962805
1259,2026-05-13 13:34:35,211.19111678444517,453.9296480365281,430.5492078586141,268.6100996576332
1260,2026-05-13 13:34:35,202.7024363591081,461.0047396685675,430.4325298222176,268.6088528444858
1261,2026-05-13 13:34:35,194.25407814025618,466.1974319808579,430.40265317350395,268.6085335847556
1262,2026-05-13 13:34:35,187.2862430152876,469.0059827650967,431.10014161600026,268.6160058144661
1263,2026-05-13 13:34:35,181.27934332981,470.26429681733237,430.6652993347132,268.6113481957477
1264,2026-05-13 13:34:35,177.38164106598782,471.65851320714495,430.5539533566261,268.61015556307586
1265,2026-05-13 13:34:35,174.84135206276514,471.98844160466376,429.968384740196,268.60387768523844
1266,2026-05-13 13:34:36,173.19694674240867,472.7792073189103,430.10095887018986,268.6052997312448
1267,2026-05-13 13:34:36,172.12130075243869,472.7168927773113,430.90404031884606,268.61390380968413
1268,2026-05-13 13:34:36,171.42891339069647,473.25270058113125,430.70913499631246,268.61181671213456
1269,2026-05-13 13:34:36,170.97207907382574,473.02466339775486,430.96608940959925,268.6145701365605
1270,2026-05-13 13:34:36,170.68191929959806,473.4527514844196,430.74946690530203,268.6122498246042
1271,2026-05-13 13:34:36,170.4865329146118,473.15469648489227,429.8915083468447,268.6030511921451
1272,2026-05-13 13:34:36,170.36631429610898,473.5372729910589,428.6164463678319,268.5893816513592
1273,2026-05-13 13:34:36,167.6847366240294,475.8939336449968,429.1497880374304,268.5951007075381
1274,2026-05-13 13:34:36,165.99691214912497,477.6387274625097,429.56887101339225,268.5995946957396
1275,2026-05-13 13:34:36,164.6606324481298,479.1324582543996,429.55218745017976,268.59941571878886
1276,2026-05-13 13:34:36,164.03124443479024,479.74376845862145,429.83043063167935,268.6023994530526
1277,2026-05-13 13:34:36,162.87289937446792,480.02812126312307,429.662696388906,268.6006007287536
1278,2026-05-13 13:34:36,162.86921793691002,480.3259494142917,429.9022614418514,268.60316970952965
1279,2026-05-13 13:34:36,163.59592046148174,479.93867528579347,429.34082479560186,268.5971491173466
1280,2026-05-13 13:34:36,164.13806904329147,481.22362811952706,429.9219879780949,268.60338124121466
1281,2026-05-13 13:34:36,163.6915782216453,481.10302887095435,430.0708009748242,268.60497704262934
1282,2026-05-13 13:34:36,164.1444843401632,481.59549354639375,429.45037549203414,268.59832388386144
1283,2026-05-13 13:34:37,165.1815445208131,482.48609729441375,429.9682731473375,268.6038775800672
1284,2026-05-13 13:34:37,165.11296243462226,482.4944880216424,430.1008863348319,268.60529966288357
1285,2026-05-13 13:34:37,165.79723921165487,481.91922910371596,430.9039931708634,268.61390376524935
1286,2026-05-13 13:34:37,164.5762706320487,480.94097019780924,430.5824266166429,268.6104600799536
1287,2026-05-13 13:34:37,163.9764092543375,480.9193012218377,430.50008608988037,268.6095782878097
1288,2026-05-13 13:34:37,162.84292025726273,480.3340204035695,431.1634730116449,268.6166848714513
1289,2026-05-13 13:34:37,162.85415882547818,480.64878009938997,430.6920568493731,268.611635097324
1290,2026-05-13 13:34:37,162.85703658006668,480.7293776578652,430.571345741155,268.61034204910044
1291,2026-05-13 13:34:37,163.60203227313707,481.3526202578858,431.20979178497345,268.61718131629027
1292,2026-05-13 13:34:37,164.84277208837892,483.47882474965706,430.90787344929527,268.6139470914285
1293,2026-05-13 13:34:37,164.90677402541505,484.2908579744841,431.0500564059845,268.6154702218122
1294,2026-05-13 13:34:37,165.69085422735964,485.38867926544594,430.80404545295244,268.6128348800178
1295,2026-05-13 13:34:37,166.9425313525201,486.6719210025203,431.36104659764175,268.61880165638655
1296,2026-05-13 13:34:37,168.49769252879628,488.07533355154055,430.7755316894568,268.6125294389591
1297,2026-05-13 13:34:37,168.75335777921563,487.2681425287162,430.6256043872094,268.61092337116327
1298,2026-05-13 13:34:37,169.66132485995695,487.3132864791147,431.24505990490877,268.61755917563113
1299,2026-05-13 13:34:37,169.4960949846556,485.6221100273425,430.9307977272532,268.6141927000001
1300,2026-05-13 13:34:37,166.6308927793324,483.6248792978315,431.0597419134217,268.6155739914336
